id,sepal_length,sepal_width,petal_length,petal_width,redundancy
697,5.23,3.87,1.6,0.36,0
698,5.36,3.06,3.38,1.54,0
699,6.59,2.48,4.82,1.3,0
700,4.84,2.69,4.4,1.39,0
701,6.18,2.85,4.91,1.26,0
702,5.82,2.38,4.2,1.31,0
703,5.8,2.4,5.04,0.97,0
704,6.14,2.43,3.88,1.29,0
705,6.56,2.44,3.93,1.18,0
706,6.86,2.77,4.74,1.28,0
707,6.96,2.67,4.7,2.01,0
708,7.18,3.1,4.86,2.06,0
709,6.48,2.82,6.14,1.69,0
710,7.15,3.03,5.18,2.08,0
711,7.24,2.97,5.85,1.99,0
712,6.63,2.56,4.85,2.03,0
713,5.5,2.25,5.57,2.07,0
714,6.53,3.47,6.84,2.1,0
715,4.8,3.51,1.36,0.14,0
716,4.39,2.88,1.81,0.23,0
717,5.31,3.4,0.98,0.41,0
718,5.12,3.33,1.44,0.04,0
719,5.47,3.46,1.5,0.15,0
720,5.24,3.09,1.49,0.22,0
721,4.37,2.6,1.56,0.05,0
722,4.81,2.78,1.21,0.17,0
723,4.81,3.56,1.22,0.15,0
724,4.6,4.02,1.21,0.4,0
725,4.75,3.58,1.52,0.15,0
726,5.1,3.58,1.52,0.2,0
727,6.6,2.83,4.55,1.39,0
728,5.74,2.9,4.46,1.29,0
729,6.22,2.39,4.0,1.21,0
730,5.75,2.26,4.42,1.26,0
731,6.56,2.84,5.68,1.26,0
732,5.47,2.38,4.13,1.6,0
733,5.41,2.9,5.21,1.56,0
734,5.8,3.0,4.59,0.93,0
735,6.37,2.43,3.61,1.57,0
736,7.76,2.78,4.49,1.22,0
737,5.98,2.86,5.41,1.68,0
738,5.32,2.63,5.15,1.43,0
739,7.0,2.65,5.87,1.85,0
740,7.32,2.7,6.03,2.28,0
741,6.98,2.93,5.14,2.3,0
742,6.18,3.36,4.01,1.71,0
743,6.23,3.02,6.25,2.28,0
744,6.65,2.93,4.99,2.33,0
745,6.24,2.89,6.74,2.02,0
746,6.56,3.05,5.27,2.07,0
747,6.26,3.25,6.18,1.69,0
748,6.15,3.47,5.47,1.74,0
749,5.33,2.92,1.32,0.33,0
750,4.74,3.69,1.37,0.14,0
751,5.92,3.38,1.77,0.28,0
752,5.15,3.7,1.33,0.23,0
753,4.8,3.46,1.34,0.31,0
754,5.55,4.13,1.64,0.29,0
755,4.38,3.25,0.92,0.23,0
756,5.21,3.94,1.52,0.23,0
757,6.4,3.29,4.09,1.37,0
758,5.59,2.8,3.99,1.45,0
759,6.25,2.58,3.79,1.13,0
760,6.35,3.23,3.37,1.13,0
761,5.91,2.49,4.84,1.22,0
762,5.61,2.87,5.21,1.49,0
763,6.66,2.93,3.16,1.07,0
764,5.69,2.47,4.4,1.53,0
765,5.8,2.77,3.95,1.34,0
766,7.22,2.89,4.86,1.72,0
767,6.88,3.5,5.82,2.07,0
768,6.88,3.08,5.63,2.34,0
769,7.65,2.65,4.5,1.62,0
770,6.18,2.41,4.71,1.98,0
771,6.51,2.6,6.23,1.46,0
772,7.61,2.6,6.31,2.14,0
773,7.41,3.07,5.43,2.19,0
774,7.18,2.84,6.32,1.95,0
775,4.78,3.04,1.45,0.31,0
776,4.96,3.24,1.43,0.31,0
777,4.81,2.79,1.46,0.34,0
778,4.99,3.44,1.68,0.15,0
779,4.65,3.55,1.1,0.29,0
780,5.3,3.83,1.31,0.34,0
781,4.81,2.94,1.47,0.2,0
782,5.61,2.47,1.34,0.17,0
783,5.14,3.45,1.41,0.23,0
784,4.56,3.69,1.19,0.28,0
785,5.26,3.26,1.24,0.22,0
786,5.2,3.93,1.17,0.24,0
787,5.75,3.29,3.99,1.42,0
788,5.98,2.92,4.4,1.12,0
789,5.63,3.11,3.88,1.33,0
790,5.82,2.91,4.11,1.28,0
791,6.52,2.37,3.71,1.31,0
792,6.03,2.57,4.95,1.46,0
793,5.7,2.84,4.77,1.22,0
794,5.9,1.98,4.48,1.24,0
795,6.24,2.95,4.74,0.99,0
796,5.96,3.33,4.69,1.52,0
797,6.78,2.78,5.35,1.98,0
798,6.73,3.66,5.7,2.58,0
799,6.97,2.85,6.59,1.58,0
800,6.07,2.55,6.35,1.85,0
801,5.93,3.15,4.58,2.06,0
802,7.83,3.2,5.58,1.94,0
803,7.32,2.88,5.33,2.18,0
804,7.19,2.91,5.74,2.05,0
805,6.59,2.82,4.56,2.3,0
806,4.81,2.35,6.06,2.0,0
807,5.77,3.14,5.45,2.07,0
808,6.95,3.11,5.84,2.34,0
809,4.74,3.23,1.39,0.33,0
810,4.41,4.37,1.63,0.14,0
811,4.94,3.48,1.63,0.21,0
812,5.29,3.22,1.62,0.18,0
813,4.88,3.24,1.53,0.28,0
814,5.1,3.44,1.78,0.06,0
815,5.39,3.31,1.49,0.24,0
816,4.87,2.63,1.18,0.06,0
817,5.16,2.87,1.54,0.26,0
818,4.73,3.1,1.47,0.46,0
819,4.92,2.89,4.35,1.2,0
820,5.51,2.85,4.63,1.24,0
821,6.04,3.22,4.92,1.5,0
822,6.66,3.08,4.55,1.16,0
823,6.14,3.07,4.04,1.51,0
824,6.4,2.42,3.91,1.38,0
825,6.53,2.8,4.03,1.1,0
826,5.97,2.43,4.02,1.64,0
827,6.53,2.81,4.88,0.99,0
828,5.89,2.76,4.54,1.5,0
829,5.58,2.67,3.7,1.15,0
830,6.4,2.6,4.21,1.16,0
831,7.1,3.22,4.77,2.07,0
832,6.9,3.38,5.2,1.86,0
833,7.24,2.99,5.83,2.44,0
834,5.88,2.65,5.12,1.91,0
835,7.4,3.26,4.51,2.01,0
836,6.89,2.59,6.09,2.12,0
837,7.28,2.33,5.13,1.75,0
838,6.83,3.02,5.5,2.09,0
839,4.69,3.42,1.52,0.23,0
840,4.4,4.08,1.3,0.27,0
841,5.22,2.97,1.37,0.29,0
842,4.97,3.1,1.47,0.17,0
843,4.6,3.43,1.38,0.32,0
844,4.41,3.29,1.22,0.22,0
845,5.44,2.52,1.45,0.26,0
846,4.69,3.45,1.58,0.24,0
847,4.55,3.35,1.57,0.33,0
848,4.74,3.07,1.45,0.28,0
849,5.35,3.06,1.33,0.33,0
850,4.92,2.78,1.33,0.14,0
851,5.67,2.92,4.55,1.52,0
852,5.6,3.09,4.77,1.46,0
853,5.12,2.94,3.89,1.15,0
854,6.87,2.9,4.82,0.92,0
855,5.77,2.83,4.94,1.77,0
856,6.22,2.79,4.55,1.51,0
857,5.84,2.55,4.84,1.42,0
858,5.54,2.73,4.27,1.0,0
859,6.27,2.94,4.21,1.41,0
860,6.28,2.91,3.48,1.44,0
861,6.07,2.25,4.0,1.27,0
862,7.03,2.42,5.02,2.11,0
863,6.32,2.35,5.91,1.76,0
864,7.99,3.08,5.37,2.28,0
865,5.92,3.01,5.3,1.76,0
866,6.12,2.73,5.14,1.35,0
867,6.59,2.96,5.36,1.99,0
868,7.27,3.05,5.32,2.17,0
869,6.36,3.25,4.74,2.13,0
870,5.92,2.67,5.95,1.94,0
871,4.89,3.83,1.48,0.17,0
872,3.9,3.4,1.58,0.12,0
873,4.75,3.85,1.38,0.24,0
874,4.82,3.23,1.11,0.17,0
875,4.52,3.64,1.28,0.24,0
876,5.46,3.45,1.6,0.24,0
877,4.78,3.31,1.4,0.12,0
878,4.71,3.96,1.19,0.24,0
879,5.16,3.01,1.49,0.35,0
880,6.3,2.57,4.71,1.4,0
881,5.97,3.66,4.08,1.11,0
882,6.29,2.97,4.52,1.38,0
883,5.96,3.2,3.56,1.23,0
884,5.94,2.3,4.89,1.41,0
885,6.54,3.07,4.41,1.14,0
886,6.01,2.82,3.35,1.68,0
887,6.27,2.69,4.07,1.54,0
888,6.61,3.07,5.37,2.05,0
889,7.13,3.4,4.23,1.85,0
890,5.15,2.51,5.15,1.74,0
891,6.71,2.6,6.07,2.51,0
892,6.66,2.57,6.18,1.96,0
893,5.73,3.01,6.22,1.87,0
894,6.15,2.64,4.7,1.95,0
895,5.6,2.65,6.36,2.1,0
896,6.77,2.86,5.89,1.91,0
897,4.45,2.94,1.28,0.36,0
898,5.28,3.68,1.18,0.24,0
899,5.17,3.15,1.3,0.31,0
900,5.26,3.28,1.46,0.31,0
901,4.93,3.19,1.45,0.42,0
902,5.13,3.72,1.32,0.27,0
903,5.1,3.3,1.57,0.31,0
904,4.95,3.05,1.33,0.13,0
905,5.38,3.04,1.51,0.22,0
906,5.18,2.62,4.15,1.4,0
907,7.16,2.62,4.38,1.08,0
908,6.12,2.44,5.07,1.47,0
909,5.9,2.7,4.11,1.41,0
910,5.25,3.0,4.84,1.33,0
911,6.64,2.76,4.96,1.67,0
912,5.82,2.25,4.44,1.55,0
913,5.61,2.06,4.32,1.48,0
914,6.51,3.37,3.84,1.61,0
915,5.55,2.83,5.08,1.29,0
916,6.0,2.92,3.94,1.64,0
917,6.33,2.98,4.77,1.23,0
918,5.96,3.12,5.92,2.35,0
919,6.47,3.42,6.28,1.86,0
920,6.09,3.18,5.44,2.47,0
921,7.16,2.65,5.76,2.08,0
922,7.27,2.91,5.46,2.01,0
923,6.1,3.23,5.7,2.34,0
924,7.13,3.16,5.05,1.63,0
925,5.38,2.45,4.47,2.28,0
926,6.87,2.88,5.26,1.89,0
927,6.13,3.25,5.43,2.09,0
928,6.55,2.48,5.3,2.26,0
929,4.61,3.3,1.47,0.47,0
930,5.61,3.97,1.37,0.26,0
931,4.67,3.3,1.24,0.19,0
932,4.62,3.04,1.73,0.29,0
933,5.07,3.8,1.4,0.3,0
934,5.4,3.15,1.37,0.28,0
935,4.88,3.64,1.52,0.27,0
936,4.9,3.13,1.52,0.22,0
937,4.7,2.96,1.55,0.2,0
938,4.69,3.3,1.48,0.26,0
939,4.99,3.67,1.09,0.2,0
940,5.11,3.53,1.51,0.27,0
941,5.84,3.0,3.91,1.38,0
942,5.82,3.06,4.77,1.31,0
943,5.71,2.28,4.13,1.21,0
944,4.88,2.42,3.91,1.1,0
945,6.14,2.46,4.02,1.43,0
946,5.68,2.9,3.87,1.2,0
947,5.4,3.0,4.17,1.62,0
948,5.75,2.62,3.18,1.45,0
949,5.67,3.0,3.87,1.23,0
950,6.37,3.59,4.24,1.38,0
951,7.18,3.18,4.49,1.31,0
952,5.8,2.63,4.09,1.32,0
953,6.68,3.57,5.77,2.39,0
954,6.18,3.36,5.9,1.82,0
955,6.32,2.44,5.29,2.01,0
956,6.76,2.74,5.66,1.78,0
957,6.54,3.03,5.61,1.98,0
958,7.75,3.06,7.16,1.72,0
959,7.67,2.8,5.47,2.19,0
960,6.21,2.64,6.02,1.51,0
961,5.39,3.64,1.35,0.16,0
962,5.88,3.71,1.69,0.31,0
963,4.82,3.58,1.38,0.14,0
964,4.88,3.2,1.15,0.25,0
965,5.58,3.41,1.6,0.1,0
966,5.51,2.79,1.44,0.32,0
967,5.65,4.13,1.51,0.17,0
968,4.94,3.12,1.57,0.25,0
969,4.41,3.34,1.48,0.23,0
970,5.59,3.74,1.58,0.29,0
971,4.36,2.96,1.69,0.2,0
972,5.58,3.51,1.42,0.16,0
973,6.03,2.7,4.79,1.7,0
974,6.01,3.03,4.22,1.51,0
975,5.56,2.78,3.82,1.47,0
976,5.59,2.49,4.9,1.21,0
977,5.64,3.27,3.59,1.67,0
978,5.97,3.08,3.94,1.23,0
979,6.17,3.28,4.62,1.45,0
980,5.95,3.09,4.14,1.28,0
981,5.43,2.35,3.96,1.34,0
982,6.12,3.28,4.05,1.02,0
983,5.41,2.69,4.49,1.11,0
984,6.36,2.63,3.89,1.76,0
985,5.68,3.41,4.29,1.83,0
986,7.39,2.91,4.86,2.31,0
987,6.92,3.06,5.43,2.02,0
988,6.4,2.81,6.05,2.5,0
989,6.49,2.77,6.2,2.16,0
990,5.78,3.19,6.15,2.18,0
991,7.06,2.48,5.64,1.92,0
992,5.85,3.21,5.03,2.3,0
993,7.94,3.05,5.06,2.03,0
994,6.5,2.96,5.79,2.24,0
995,5.36,3.17,1.4,0.17,0
996,4.65,3.76,1.53,0.33,0
997,4.62,3.31,1.62,0.19,0
998,4.89,3.24,1.47,0.23,0
999,4.99,3.4,1.58,0.28,0
1000,4.65,3.24,1.37,0.05,0
1001,4.9,3.7,1.29,0.14,0
1002,5.89,3.62,1.42,0.34,0
1003,5.62,2.95,5.38,1.32,0
1004,5.18,2.65,4.17,1.43,0
1005,5.98,3.15,4.14,1.48,0
1006,6.35,2.44,3.98,1.45,0
1007,5.87,2.39,3.79,1.14,0
1008,5.44,2.85,4.88,1.06,0
1009,5.33,2.29,4.36,1.19,0
1010,6.32,3.19,5.29,1.49,0
1011,5.54,2.53,4.52,1.24,0
1012,5.85,2.15,4.05,1.22,0
1013,6.77,2.46,5.49,2.14,0
1014,6.78,2.93,4.93,2.45,0
1015,6.44,2.9,4.46,1.93,0
1016,6.82,2.82,5.52,1.8,0
1017,6.68,3.03,5.01,2.12,0
1018,6.58,2.51,6.22,1.98,0
1019,6.77,3.41,5.23,1.78,0
1020,5.61,2.82,5.66,2.2,0
1021,6.9,2.66,6.07,1.87,0
1022,5.8,3.07,5.51,2.23,0
1023,5.21,3.5,1.2,0.17,0
1024,5.13,2.9,1.66,0.3,0
1025,4.74,3.8,1.4,0.44,0
1026,4.85,2.91,1.55,0.24,0
1027,4.82,3.53,1.62,0.45,0
1028,4.92,3.45,1.45,0.3,0
1029,4.53,3.2,1.17,0.13,0
1030,4.98,3.48,1.2,0.32,0
1031,6.31,3.41,4.3,1.79,0
1032,5.02,2.63,4.98,1.2,0
1033,6.35,2.9,3.74,1.54,0
1034,6.4,2.89,4.01,1.32,0
1035,6.48,2.35,4.92,1.13,0
1036,5.52,2.44,4.15,1.34,0
1037,6.37,3.1,4.26,1.65,0
1038,5.36,2.91,4.2,1.46,0
1039,5.98,2.48,3.64,1.31,0
1040,6.64,2.35,4.01,1.52,0
1041,4.98,2.61,4.1,1.18,0
1042,6.02,3.16,4.62,1.45,0
1043,5.53,2.74,4.91,2.35,0
1044,5.98,3.09,7.3,2.86,0
1045,7.0,2.93,5.26,1.92,0
1046,7.79,2.83,6.59,1.77,0
1047,6.49,2.87,6.35,2.13,0
1048,6.2,2.96,4.11,1.73,0
1049,7.37,2.93,5.28,1.7,0
1050,7.55,2.79,5.23,1.79,0
1051,6.73,3.41,5.89,1.93,0
1052,6.5,2.98,6.19,2.1,0
1053,7.48,3.18,5.82,2.3,0
1054,7.26,2.97,5.62,2.28,0
1055,5.27,3.55,1.32,0.33,0
1056,5.06,3.31,1.34,0.41,0
1057,5.05,3.96,1.71,0.22,0
1058,4.93,3.28,1.62,0.11,0
1059,5.06,2.9,1.39,0.15,0
1060,5.33,3.37,1.03,0.38,0
1061,4.55,3.35,1.69,0.26,0
1062,5.18,3.33,1.43,0.1,0
1063,5.14,3.4,1.51,0.24,0
1064,5.79,3.11,4.4,1.25,0
1065,5.32,2.07,4.84,1.32,0
1066,5.64,2.79,3.95,1.12,0
1067,6.55,2.65,4.39,1.49,0
1068,6.02,2.42,3.71,1.46,0
1069,5.58,2.85,3.83,1.3,0
1070,6.02,2.99,4.78,1.38,0
1071,6.7,2.79,3.71,1.57,0
1072,6.68,2.78,3.7,1.44,0
1073,7.21,3.24,5.65,2.03,0
1074,6.78,3.06,6.38,2.44,0
1075,6.25,3.21,6.39,1.76,0
1076,6.94,2.9,5.55,2.33,0
1077,6.92,2.84,5.97,1.72,0
1078,6.35,3.03,5.65,2.04,0
1079,8.19,3.08,5.19,1.78,0
1080,6.17,2.95,5.12,1.57,0
1081,5.36,3.3,4.87,2.65,0
1082,5.24,2.6,1.33,0.19,0
1083,5.03,3.8,1.67,0.28,0
1084,4.78,3.53,1.22,0.51,0
1085,4.99,3.44,1.74,0.29,0
1086,5.22,2.61,1.55,0.3,0
1087,5.84,2.76,1.4,0.22,0
1088,4.4,2.63,1.59,0.12,0
1089,5.53,3.32,1.31,0.31,0
1090,4.54,3.58,1.48,0.24,0
1091,5.28,3.13,1.59,0.26,0
1092,4.56,2.82,1.56,0.56,0
1093,5.24,3.39,1.37,0.22,0
1094,5.74,2.96,3.93,1.28,0
1095,5.97,3.06,4.38,1.47,0
1096,5.49,2.32,3.68,1.05,0
1097,5.46,2.65,4.64,1.29,0
1098,4.92,3.4,4.01,1.72,0
1099,5.69,2.49,5.22,1.24,0
1100,5.35,2.55,3.57,1.16,0
1101,5.08,2.24,4.17,1.46,0
1102,5.71,3.13,4.25,1.24,0
1103,5.65,3.05,4.46,1.37,0
1104,6.2,2.82,4.21,1.48,0
1105,5.82,2.68,4.88,1.62,0
1106,7.19,3.6,4.73,1.38,0
1107,6.36,3.09,5.75,2.14,0
1108,6.84,2.72,5.43,2.02,0
1109,5.55,2.94,5.99,2.15,0
1110,6.73,2.6,6.85,2.36,0
1111,6.18,3.41,5.48,2.21,0
1112,6.82,3.0,5.49,1.65,0
1113,6.86,2.99,5.67,1.7,0
1114,7.62,2.99,5.71,2.18,0
1115,5.62,2.91,1.39,0.15,0
1116,5.56,3.23,1.37,0.26,0
1117,5.96,3.32,1.65,0.23,0
1118,4.53,3.35,1.64,0.3,0
1119,4.83,2.99,1.59,0.4,0
1120,4.5,3.02,1.61,0.23,0
1121,4.7,3.52,1.55,0.1,0
1122,5.31,3.75,1.36,0.32,0
1123,5.56,2.13,4.05,1.32,0
1124,6.44,2.88,3.96,0.85,0
1125,5.6,2.69,4.63,1.48,0
1126,5.47,2.96,3.71,1.23,0
1127,5.65,2.7,3.62,1.32,0
1128,6.09,2.92,4.57,1.29,0
1129,5.23,2.35,4.81,1.55,0
1130,6.6,2.87,3.68,1.8,0
1131,6.0,2.85,5.25,2.06,0
1132,6.54,2.64,5.0,2.78,0
1133,5.91,3.33,6.46,2.3,0
1134,6.83,2.67,5.25,2.11,0
1135,6.08,1.96,5.21,2.28,0
1136,6.43,3.26,5.7,1.82,0
1137,6.48,3.03,5.57,1.94,0
1138,6.1,2.99,5.36,1.62,0
1139,5.86,3.04,4.84,2.19,0
1140,6.01,3.24,6.56,1.94,0
1141,6.55,2.41,6.04,1.98,0
1142,5.94,2.91,4.66,2.42,0
1143,5.26,3.53,1.41,0.15,0
1144,4.79,3.47,1.45,-0.01,0
1145,5.04,3.36,1.22,0.29,0
1146,5.42,2.68,1.58,0.17,0
1147,4.25,2.83,1.51,0.33,0
1148,5.47,3.06,1.44,0.33,0
1149,4.99,3.01,1.19,0.36,0
1150,4.58,3.24,1.52,0.33,0
1151,5.16,3.19,1.39,0.23,0
1152,5.54,3.22,1.31,0.28,0
1153,5.07,3.7,1.54,-0.03,0
1154,5.72,2.87,4.34,1.03,0
1155,6.71,3.2,4.55,0.95,0
1156,6.42,2.61,4.61,1.34,0
1157,7.13,2.87,4.08,1.27,0
1158,5.77,2.86,4.22,1.42,0
1159,5.91,3.07,3.9,1.74,0
1160,6.17,3.15,3.41,1.11,0
1161,6.09,2.96,4.59,1.18,0
1162,5.57,2.81,3.46,1.5,0
1163,5.56,3.03,5.8,2.08,0
1164,5.69,2.92,5.32,2.11,0
1165,6.73,2.46,5.98,1.38,0
1166,6.63,3.36,6.29,2.04,0
1167,6.99,2.51,5.48,1.48,0
1168,5.97,3.16,5.29,1.71,0
1169,6.09,2.5,6.16,2.36,0
1170,7.53,3.24,5.26,2.41,0
1171,5.89,2.61,4.7,2.29,0
1172,7.76,3.02,5.54,2.07,0
1173,6.78,3.26,4.77,2.29,0
1174,4.79,3.42,1.43,0.39,0
1175,4.92,3.88,1.69,0.21,0
1176,4.73,3.81,1.58,0.29,0
1177,5.24,3.07,1.68,0.29,0
1178,4.9,3.02,1.45,0.28,0
1179,5.58,3.04,1.29,0.26,0
1180,4.7,4.6,1.68,0.2,0
1181,4.82,3.55,1.8,0.17,0
1182,4.9,3.67,1.45,0.19,0
1183,4.86,3.05,1.32,0.25,0
1184,4.6,3.48,1.52,0.28,0
1185,4.74,3.04,4.04,1.2,0
1186,6.06,2.24,4.87,1.0,0
1187,5.7,2.83,4.18,1.31,0
1188,6.4,2.64,4.66,1.71,0
1189,5.32,2.62,3.11,1.26,0
1190,5.63,2.67,4.25,1.22,0
1191,6.35,2.7,3.91,1.36,0
1192,5.39,3.23,4.58,1.24,0
1193,6.04,3.07,5.0,1.18,0
1194,7.05,2.34,5.29,1.76,0
1195,7.45,3.63,5.89,2.03,0
1196,7.02,3.27,6.77,2.19,0
1197,6.12,3.04,5.02,2.22,0
1198,6.87,3.14,5.35,1.99,0
1199,5.56,2.84,5.06,2.12,0
1200,7.2,2.74,5.02,2.32,0
1201,7.5,2.6,6.2,1.7,0
1202,5.8,2.86,5.05,1.91,0
1203,6.08,3.04,4.86,2.53,0
1204,4.9,4.43,1.22,0.25,0
1205,5.15,2.43,1.52,0.41,0
1206,4.81,3.23,1.34,0.25,0
1207,4.94,2.79,1.29,0.19,0
1208,4.35,4.17,1.48,0.3,0
1209,4.88,3.74,1.3,0.31,0
1210,4.46,2.87,1.41,0.36,0
1211,5.17,3.94,1.55,0.23,0
1212,4.35,3.28,1.29,0.11,0
1213,4.78,3.73,1.45,0.21,0
1214,6.03,3.24,4.31,1.41,0
1215,5.21,2.62,4.3,1.13,0
1216,5.83,2.63,3.88,1.44,0
1217,5.25,3.12,4.83,1.52,0
1218,5.33,2.59,4.0,1.62,0
1219,5.37,2.58,4.88,1.02,0
1220,5.91,2.78,3.79,1.1,0
1221,5.12,2.63,3.95,1.34,0
1222,5.92,2.85,4.35,1.42,0
1223,6.47,2.91,4.45,0.94,0
1224,6.21,3.24,6.65,2.11,0
1225,6.53,3.03,5.07,1.97,0
1226,5.86,2.74,5.77,2.1,0
1227,7.4,3.2,4.33,2.24,0
1228,7.32,2.71,6.54,2.34,0
1229,6.1,3.54,5.71,2.12,0
1230,6.52,2.52,6.2,2.36,0
1231,7.54,3.09,6.08,1.8,0
1232,5.39,3.85,1.62,0.16,0
1233,4.91,3.2,1.48,0.5,0
1234,4.95,3.48,1.4,0.18,0
1235,4.56,2.5,1.5,0.37,0
1236,5.13,3.01,1.24,0.26,0
1237,5.14,3.34,1.55,0.27,0
1238,4.83,3.25,1.27,0.28,0
1239,5.1,2.85,1.69,0.2,0
1240,5.35,2.67,4.41,1.42,0
1241,6.31,2.88,3.71,1.56,0
1242,5.82,2.26,4.42,1.46,0
1243,6.41,2.74,4.52,1.05,0
1244,6.44,2.67,4.1,1.43,0
1245,6.63,2.98,4.41,0.72,0
1246,5.39,2.89,4.17,1.27,0
1247,5.87,3.23,4.26,0.8,0
1248,5.45,2.98,4.13,1.38,0
1249,6.26,2.97,5.06,2.32,0
1250,7.87,3.03,4.88,1.89,0
1251,7.96,3.24,5.57,2.06,0
1252,6.23,3.12,5.04,2.08,0
1253,6.62,3.73,4.55,2.4,0
1254,7.7,3.17,5.7,1.85,0
1255,7.2,3.04,6.06,2.11,0
1256,5.97,2.9,6.04,2.14,0
1257,6.73,3.48,5.92,2.2,0
1258,6.98,3.03,4.98,1.97,0
1259,4.72,2.82,6.4,1.49,0
1260,6.42,2.73,5.71,2.05,0
1261,4.92,3.0,1.58,0.02,0
1262,4.71,3.5,1.49,0.18,0
1263,5.07,3.38,1.34,0.25,0
1264,5.1,3.86,1.37,0.19,0
1265,5.11,3.43,1.56,0.35,0
1266,4.83,3.13,1.33,0.08,0
1267,4.35,3.34,1.35,0.45,0
1268,4.81,3.4,1.75,0.23,0
1269,5.52,3.46,1.47,0.21,0
1270,5.28,2.96,1.28,0.36,0
1271,5.3,2.86,3.81,1.56,0
1272,5.65,3.12,4.81,0.85,0
1273,6.33,2.47,4.53,1.23,0
1274,6.4,2.59,3.94,1.47,0
1275,5.68,2.44,4.43,1.0,0
1276,6.93,2.65,4.59,1.09,0
1277,5.01,2.78,5.23,1.01,0
1278,6.18,2.94,4.77,1.47,0
1279,5.38,2.72,5.47,1.48,0
1280,6.23,2.57,4.71,1.21,0
1281,6.37,2.55,5.6,2.05,0
1282,7.34,3.08,5.74,1.96,0
1283,6.27,3.0,5.17,2.31,0
1284,6.7,3.43,5.29,2.53,0
1285,7.0,2.96,6.13,2.01,0
1286,6.85,2.99,5.79,2.07,0
1287,7.3,2.77,6.62,1.89,0
1288,7.76,2.84,6.01,1.99,0
1289,7.2,3.24,4.96,2.55,0
1290,6.08,3.33,5.08,1.48,0
1291,6.65,3.19,6.21,1.78,0
1292,6.15,2.15,5.97,2.35,0
1293,5.86,3.38,1.27,0.11,0
1294,5.33,3.04,1.69,0.29,0
1295,5.14,2.9,1.45,0.32,0
1296,5.25,3.41,1.34,0.27,0
1297,4.35,3.47,1.63,0.24,0
1298,4.95,3.47,1.56,0.39,0
1299,4.76,3.88,1.33,0.38,0
1300,4.79,3.46,1.28,0.44,0
1301,5.03,3.42,1.46,0.3,0
1302,5.22,3.53,1.27,0.32,0
1303,5.02,3.43,1.49,0.02,0
1304,4.57,2.59,4.09,1.52,0
1305,7.29,3.67,4.09,1.75,0
1306,6.29,2.48,4.34,1.55,0
1307,5.83,2.68,4.23,1.49,0
1308,5.74,3.08,4.34,1.01,0
1309,6.16,2.85,4.28,1.45,0
1310,6.99,2.64,3.77,1.55,0
1311,5.56,2.63,4.02,1.35,0
1312,6.58,2.47,4.47,0.84,0
1313,6.06,2.52,4.82,1.37,0
1314,7.58,3.05,6.1,2.39,0
1315,6.97,2.86,4.79,1.94,0
1316,6.13,3.32,5.67,1.6,0
1317,6.23,2.64,5.78,1.77,0
1318,6.54,3.47,5.31,1.8,0
1319,7.57,2.94,6.77,1.67,0
1320,7.13,2.88,4.79,1.85,0
1321,5.74,2.72,6.4,2.2,0
1322,6.07,2.98,4.71,1.65,0
1323,6.72,3.04,5.72,2.04,0
1324,6.81,2.77,5.26,2.87,0
1325,6.98,2.9,5.83,2.08,0
1326,5.26,3.42,1.19,0.12,0
1327,5.2,3.43,1.42,0.39,0
1328,5.76,3.46,1.69,0.36,0
1329,5.43,2.83,1.22,0.25,0
1330,4.74,3.02,1.22,0.23,0
1331,3.97,4.0,1.09,0.34,0
1332,5.47,3.21,1.53,0.31,0
1333,4.88,3.79,1.35,0.24,0
1334,4.8,3.95,1.44,0.42,0
1335,4.96,3.05,1.72,0.19,0
1336,5.91,2.62,3.55,1.31,0
1337,6.21,3.45,3.69,1.07,0
1338,5.15,2.31,3.78,1.57,0
1339,5.28,2.79,5.37,1.39,0
1340,5.72,2.77,3.56,1.52,0
1341,6.32,2.7,4.75,1.55,0
1342,5.36,3.49,4.82,1.62,0
1343,5.56,2.53,4.06,1.25,0
1344,6.0,2.55,3.86,1.22,0
1345,6.44,2.75,4.43,1.14,0
1346,6.07,2.21,3.14,0.85,0
1347,5.57,2.82,5.9,1.69,0
1348,5.88,2.57,5.95,2.02,0
1349,5.65,2.62,6.08,2.13,0
1350,6.7,2.49,6.78,1.91,0
1351,6.38,3.09,5.53,1.79,0
1352,7.73,2.56,6.43,1.72,0
1353,6.03,2.88,6.31,1.46,0
1354,6.24,2.4,5.19,2.48,0
1355,5.97,2.94,5.22,2.24,0
1356,5.87,2.6,5.16,2.25,0
1357,6.67,2.25,5.84,2.13,0
1358,5.09,3.54,1.19,0.19,0
1359,4.94,4.41,1.5,0.3,0
1360,5.74,3.27,1.43,0.35,0
1361,5.28,3.47,1.43,0.35,0
1362,5.07,4.11,1.56,0.09,0
1363,4.92,3.41,1.63,0.43,0
1364,5.37,2.93,1.8,0.4,0
1365,5.18,3.95,1.29,0.28,0
1366,4.37,3.21,1.26,0.26,0
1367,4.58,2.36,1.49,0.34,0
1368,4.95,3.41,1.34,0.61,0
1369,4.72,3.84,1.53,0.49,0
1370,6.11,2.64,4.76,1.06,0
1371,5.81,2.48,4.88,1.38,0
1372,5.47,2.97,3.78,1.29,0
1373,6.29,2.68,4.26,1.14,0
1374,6.04,2.35,3.77,1.42,0
1375,5.22,2.77,3.66,1.22,0
